content,content_language,id,lang,lang_orig,misinfome_label,split_label
"They are shouting at home from their houses, begging for a life-time boom. Treatment, rather than help, has been disposed of in homes. These shouts of Chinese people will chase the world community for centuries. The Corona virus is heading towards extreme. India has to get ready immediately. https://t.co/hZDcxpgpWX","जिंदगी की भीख मांगते चीन के वूहान शहर के ये लोग अपने घरों से चीखकर गिड़गिड़ा रहे हैं. इलाज, मदद की बजाय इन्हें घरों में बंद कर दिया गया है. चीन के लोगों की ये चीखें सदियों तक विश्व समुदाय का पीछा करेंगी. कोरोना वायरस चरम की तरफ बढ़ रहा है.भारत को तत्काल तैयारी में जुटना होगा. https://t.co/hZDcxpgpWX",1225830935079161856,en,hi,not_credible,rest
"Retweeted SaneVax (@SaneVaxx):

Excellent article explaining why Sweden chose to avoid mandatory vaccination... https://t.co/oLDPKf6rMX",,866392279740821507,,,not_credible,rest
"Retweeted HealthRanger (@HealthRanger):

Sweden outlaws coercive mandatory #vaccines laws, citing violations of... https://t.co/EIKTjwun7M",,865508691444760577,,,not_credible,rest
Photo taken in Wisconsin. This is happening right before our eyes. They are sabotaging USPS to sabotage vote by mail. This is massive voter suppression and part of their plan to steal the election. https://t.co/QXLWGIHTrz,,1294427812670124033,en,en,not_credible,rest
The people of Delhi are @ArvindKejrib wal by the government of handsome. World-level swimming pool everywhere in Delhi. @Ch_AnilINC @INCDelhi https://t.co/C5i38DdNB4,दिल्ली की जनता को @ArvindKejriwal सरकार द्वारा शानदार टोफ़ा। पूरी दिल्ली में जगह जगह विश्व स्तरीय स्विमिंग पूल। @Ch_AnilKumarINC @INCDelhi https://t.co/C5i38DdNB4,1293914709322735624,en,hi,not_credible,rest
Sen K Harris listed as Caucasian on her birth certificate … by her parents … https://t.co/9vzS7pK91m,,1293663403555381248,en,en,not_credible,rest
"The same Kamala Harris that wants to reverse tax cuts.

The same Kamala Harris that falsely claimed that middle-class families would pay more in taxes after getting a tax cut.

The same Kamala Harris that advocated for restoring voting rights for the Boston bomber.",,1293339214583664644,en,en,not_credible,rest
"Keep voting Democrat...

“...One day they will restrict your freedoms, restrict your history and restrict your safety. All in the name of professional victims that don’t understand the consequences of their ignorance”

- President Ronald Reagan",,1283793552443465728,en,en,not_credible,rest
"Rapid Turnaround of Exports: Realising PM @NarendraModi ji’s vision of Atmanirbhar Bharat, for the first time in 18 years, India records a monthly goods trade surplus in June!

📖 https://t.co/Bb0Lryjzg5 https://t.co/y1pDhp0kvi",,1283401539466350594,en,en,not_credible,rest
"Imagine a ballot being sent to a person regardless of eligibility, signed by someone else, picked up and delivered by a campaign operative, and still counted.
 
Democrats are trying to legalize ballot harvesting nationwide, and it’s why we are fighting to https://t.co/ImFKSGulau! https://t.co/1PGq5GVgM7",,1275411778495791105,en,en,not_credible,rest
"Germany, Austria, Sweden, the UK and many other European countries have no limit on cash spending. No more gifts to banks! (2/3)","Germania, Austria, Svezia, Gran Bretagna e tanti altri Paesi europei non hanno NESSUN limite di spesa in contanti. Basta regali alle banche! (2/3)",1275091135158005760,en,it,credible,rest
China War On Ladakh #Ladakh https://t.co/0tAhmuh1t0,India China War On Ladakh #Ladakh https://t.co/0tAhmuh1t0,1274641007456456704,en,id,not_credible,rest
"Situation near #Ladakh, tension between  China and India continues.
#chinaindiaborder #China #India #IndianArmy #ChineseArmy https://t.co/1IprSwKdSz",,1272959658609610753,en,en,not_credible,rest
...AND THE BEST IS YET TO COME!,,1267885679175970821,en,en,not_credible,rest
"St. Paul Mayor Melvin Carter: ""Every single person we arrested last night, I'm told, was from out of state."" https://t.co/VxvZ8ayZRF",,1266741567961825284,en,en,not_credible,rest
"I have written to the prime minister suggesting he ask the SDLP and Alliance party to nominate members to the House of Lords, especially after the election result in Northern Ireland. At present there are just DUP members in the Lords and our debates are one-sided",,1214093032116625408,en,en,not_credible,rest
"I was delighted to meet with NHS staff at North Manchester General Hospital today, they’re doing a great job.

We need to get Brexit done so we can get on with delivering on the priorities of the British people - like our NHS. https://t.co/ft5f5Y0zzw",,1178300945714823168,en,en,not_verifiable,rest
Correction. Emotional father of sick patient turns out to be Labour activist who seems to have handily come equipped with his own microphone. As you do when your child is ill. https://t.co/KsCqnXxCch,,1174383005500149766,en,en,not_verifiable,rest
"“There is a pattern consistent throughout history of oppressed people turning on the oppressors. Slaves against their owners. The peasantry against the feudal barons.” 

Brexit Party MEP Ann Widdecombe makes her maiden speech in the European Parliament. https://t.co/AURtKG3Pu2",,1146728745425920000,en,en,not_verifiable,rest
"Once again it’s the most vulnerable I’ve n society who are punished #TvLicence #OAP or don’t pay get jailed free tv, food, hairdresser, 24/7 staff on hand https://t.co/aeoejrojQS",,1138337397496827904,en,en,not_verifiable,rest
"Our schools have made great progress:

🏫 85% of schools are good and outstanding schools, vs 68% in 2010
 
Thanks to all of the hardworking teachers, leaders & support staff who are making this happen. https://t.co/OMAb5RuM6F",,1122923513034301441,en,en,not_verifiable,rest
"WTF did I just sit through?

Biden’s cognitive issues are worse than we thought. 

 https://t.co/lw21kxYj2J",,1265368692679983114,en,en,not_credible,rest
"....about whether or not Joe could have done such a horrible thing? Maybe or maybe not, but I find Joe to be a total Nut Job, and I knew him well, far better than most. So many unanswered & obvious questions, but I won’t bring them up now! Law enforcement eventually will?",,1265271286789558273,en,en,not_credible,rest
"The thing about COVID we are overlooking is not the disease itself but the aftermath nu. @benkoku, those happily recovered will never be the same. The effects range from infertility,loss of smell,stroke,lungs dysfunction ....Charlie let's be careful oooo. #citicbs",,1263036821639962624,en,en,not_verifiable,rest
"Correct. Underreported story of the new Dane County lockdown policy is that they’ve effectively killed Badger football, hockey, and basketball for 2020. No sporting events with more than 250 people until there is a vaccine (if there ever is one). Ridiculous overreach. https://t.co/nNWs4Yxe1G",,1262728549175308289,en,en,not_credible,rest
"Corona wholesale Mercury
Faith in: Mohan Bhagwat https://t.co/qDff1OkdQ5","कोरोना ने तोडी मेरी धर्म
में आस्था - मोहन भागवत https://t.co/qDff1OkdQ5",1262663851272597504,en,hi,not_credible,rest
"Of course @EricTrump was quite clearly referring to the extending of social distancing and the resistance to reopening the economy in certain states.

And the only “hoax” is the endless mischaracterization of everything by Biden and his allies. https://t.co/yrxJn7Pl3y",,1262146283432742914,en,en,not_credible,rest
"Over the past 3 weeks we’ve undertaken a massive #COVID19
testing blitz - giving Victoria the highest per capita testing rate in Australia.  Doing so much testing was about seeing the extent of the virus’ transmission in the community. #springst 1/3",,1261830393101078528,en,en,not_verifiable,rest
"Barack Hussain Obama is the first Ex-President to ever speak against his successor, which was long tradition of decorum and decency.
Should anyone really be surprised?

#TrumpsJealousOfObama? I SERIOUSLY doubt it...

#ObamaGate #MAGA
#KAG #FoxNews https://t.co/EI8INwTk5b",,1259556010408075264,en,en,not_credible,rest
PUKI NG INA MO BONG GO!!! https://t.co/PZOQukqMN6,PUKI NG INA MO BONG gaGO!!! https://t.co/PZOQukqMN6,1258961555883876352,en,pt,not_credible,rest
What can we say? Fake photo op? https://t.co/cd4IJR4AU6,,1258757521227108354,en,en,not_credible,rest
"If the White House Gift Shop is going to produce $100 COVID-19 coins, Trump can sure as hell utilize the Defense Production Act to manufacture the gloves, gowns, and masks our medical workers desperately need. https://t.co/Wr6Y1uwG0i",,1255609344541982721,en,en,not_credible,rest
Ogun State has launched Africa’s very first COVID-19 mobile laboratory. The lab which has the capacity to carry out up to 400 tests a day is contained in a 40ft container and has been set up within the grounds of the intended 250 bed hospital in Abeokuta. https://t.co/Rx0Jghj3L2,,1254844991538491392,en,en,not_credible,rest
"We have to tell with dismay that the 28-year-old doctor Manisha Patil's yesterday died from Korona Bidri. Manisha had health after a total of 188 people, but he could not save himself. God bless him with peace. https://t.co/sSn0W8fGKv",बहुत दुख के साथ बताना पड़ रहा है कि महाराष्ट्र की रहने वाली 28 वर्षिय डाक्टर मनीषा पाटील की कल कोरोना बिमारी से मौत हो गई। मनीषा ने कुल 188 लोगो की जाँच कर उन्हे स्वस्थ किया था लेकिन वे खुद को ना बचा सकी। भगवान उन्की आत्मा को शांति दे। https://t.co/sSn0W8fGKv,1254096395008540673,en,hi,not_credible,rest
"🇫 🇷 ALERT INFO: According to @NBelloubet, Jean-Pierre Pernaut’s words can ""be subject to criminal punishment. ""

""It is unacceptable that in France a TV presenter can criticize the power in place with impunity. aid the Minister of Justice. https://t.co/9mZ6V6NwWK","🇫🇷 ALERTE INFO : Pour @NBelloubet les propos de Jean-Pierre Pernaut peuvent « faire l’objet d’une sanction pénale. »

« Il est inadmissible qu’en France un présentateur télé puisse impunément critiquer le pouvoir en place. » déclare la Ministre de la Justice. https://t.co/9mZ6V6NwWK",1253718612088696836,en,fr,not_credible,rest
If you are in Kano and have elderly relatives. Please make sure they are safe from visitors and they stay home. There is community transmission in Kano. Let’s protect our parents and grandparents.,,1252740186221486082,en,en,not_credible,rest
This is Indian map redesigned  marking the Indian states population which is almost equal to population of some of the countries.India is indirectly handling COVID-19 situation of so many countries. It's about the management of the problem in an efficient manner. https://t.co/Gkw243yEcE,,1250280894163595271,en,en,not_credible,rest
Railway had also issued such circular https://t.co/kUAykienha,,1250062153761128452,en,en,not_credible,rest
I stopped following this....the last time I checked was hundred and something and now 1064🙆🏾‍♂️🙆🏾‍♂️ by June de3....... https://t.co/6RdcKr9bNn,,1249804362031017984,en,en,not_credible,rest
"Chandigarh kalka Road... Nature is back to its basics
Birds are singing on style
@juniorbachchan @priya_nigam2001 @narendramodi @aajtak @AnupamPKher @capt_ivane @pavinabh @SrBachchan @yadavakhilesh @DrKumarVishwas @ArvindKejriwal @rashtrapatibhvn @BJP4India @sudhirchaudhary https://t.co/6RvVy0kKuq",,1248950530509946880,en,en,not_credible,rest
"😍Whales seen at Bombay High near ONGC oil rigs 
(via Whatsapp) - with sound on please. https://t.co/iLzhivXKae",,1246449581786722310,en,en,not_credible,rest
"@realDonaldTrump listen to the Quran in the @WhiteHouse🏡 #Parliament.
#Trump is saying that Quran is best Treatment for #CoronaVirus🦠.
We should read the #Quran📖
And don’t wait of Ramdan’s Month.
@IvankaTrump @SAfridiOfficial @cjwerleman @ImranKhanPTI @CraigCons @BBCHindi @UN https://t.co/pLXbARDyWR",,1243480027561250817,en,en,not_credible,rest
"* ""Stay in your home""* This is not a prime minister's decision. That's the matter of nature. And look at what has happened in the country who has not believed it. 

* Take the najara just outside a hospital in Iran to thousands of people still can no longer live in their homes.* @ShyamKu790875 https://t.co/aybmyyojY8","*""अपने अपने घरों में ही रहो""* ये कोई प्रधानमंत्री का फैसला नही है। ये फैसला तो कुदरत का है। और इस फैसले को जिस देश ने  नही माना उसकी हालत क्या हुई है वो जरा देख लें। 

*ईरान के एक अस्पताल के बाहर का नजारा जरा उन तक पोहचा दो जो लोग आज भी अपने घरों में टिक नही सकते।* @ShyamKu790875 https://t.co/aybmyyojY8",1243470642252591104,en,hi,not_credible,rest
"T 3481 - Finally India got its Carona Dashboard
This is the official website for CORONA updates.   Updating every 4 hrs..  
open it .. see .. scroll down for more details .. place finger on your State and get the numbers info ..

https://t.co/uNyPkG2luF https://t.co/akg3Kj5Sbt",,1242726292396503040,en,en,not_credible,rest
"World cutest baby #Anahita suffering #CORONA

It's very dangerous so stay home stay safe

#cronavirusindia
#coronaupdatesindia #Covid19India #COVIDー19 @BeastAuro7 @akshaykumar @AkshayManish2 @aarush_for_akki https://t.co/bMUo4ik9Cu",,1242370421241995265,en,en,not_credible,rest
"👇 through the Indian Army, it was created in two days in Badmer(Rajasthan)a full hospital of ""a thousand"".
It boasts of 100,000 Ventilers: The Department of Deep Medical Department (ICU), and at the same time a whole system of treatment meted out to a thousand patients of a milch-virus. Faugibhai 🙏 🙏 https://t.co/jQghKcpaio","👇👇भारतीय सेना के द्वारा बाडमेर (राजस्थान) में केवल दो दिनों में खड़ा किया गया पूरे ""एक हजार बिस्तरों"" का परिपूर्ण अस्पताल
इसमें सौ वेंटिलेटर्स से सुसज्जित ""गहन चिकित्सा विभाग"" (आइ‌सीयू) भी हैं और एक साथ करोना-वायरस के एक हजार रोगियों के इलाज की पूरी व्यवस्था भी. फौजीभाई 🙏🙏 https://t.co/jQghKcpaio",1242347964560863232,en,hi,not_credible,rest
"....good practice.” As you saw last night, they were very cool & very professional. Never let it get out of hand. Thank you! On the bad side, the D.C. Mayor, @MurielBowser, who is always looking for money & help, wouldn’t let the D.C. Police get involved. “Not their job.” Nice!",,1266711224391213056,en,en,not_credible,rest
"@RealCandaceO Hi Candace, Mr. Soros and the Open Society Foundations oppose all violence and do not pay people to protest. 

We lament the effort, through baseless allegations, to distract from the crisis of police brutality in Minneapolis and in too many other parts of the country.",,1266114710564454402,en,en,not_credible,rest
The jellybeans were found accidentally when the Americans failed to match the consistency when trying to imitate the Turkish marshmallow. https://t.co/vDMlInYD2g,"Jelibon, Amerikalıların Türk lokumunu taklit etmeye çalışırken kıvamı tutturamaması sonucu tesadüfen bulunmuştu. https://t.co/vDMlInYD2g",671369939383664640,en,tr,not_credible,rest
"Pak PM Nawaz Sharif invited me 4 talks on Kashmir. It brought tears in my eyes. Willing 2 give Kashmir 2 Pak.

Teesta http://t.co/S1FGwg6Cg1",,566125527933521920,en,en,not_credible,rest
"in place of Satyamev Jayate
...... Here is the only cry for euphoria ......
  
It's done. Where is this country going?
The Supreme Court issued a list on August 17 that issued a list of 6 judges for the Delhi High Court. But the big news is that the word has changed under Ashok pillar. https://t.co/1MKAcx311m","सत्यमेव जयते’ की जगह
।। यतो धर्मस्ततो जय: ।।
  
हो गया है। ये देश कहाँ जा रहा है???
सुप्रीम कोर्ट ने 17 अगस्त को एक लिस्ट जारी किया है, जिसमें दिल्ली हाई कोर्ट के लिए 6 जजों के नामों की सूची जारी की गई है। लेकिन यहां बड़ी खबर यह है कि अशोक स्तंभ के नीचे लिखा शब्द बदल गया है। https://t.co/1MKAcx311m",1296688915470880773,en,hi,not_credible,rest
"A friend of mine sent this video to have it posted. Now we have one more added problem, please check the cashews before buying. Lesson: nothing to be taken for granted. https://t.co/3F9i7McA4t",,1296364906803892225,en,en,not_credible,rest
,,1295665750682853376,en,en,not_credible,rest
,,1295556620731072512,en,en,not_credible,rest
"HE SPIED ON MY CAMPAIGN, AND GOT CAUGHT!",,1296274065762717696,en,en,not_credible,rest
"I can hear Naara-E-Takbeer 
A Muzlim milk seller doing what they have been taught to as per the book.
This exclusive weird video must reach the masses who still believe in Ganga-Jamuni Tehzeeb & Bhai-Chaara.
Just see the filth which many of us are eating/drinking around us. https://t.co/vSeQYA7n9D",,1296133724807942144,en,en,not_credible,rest
"Don’t buy GOODYEAR TIRES - They announced a BAN ON MAGA HATS. Get better tires for far less! (This is what the Radical Left Democrats do. Two can play the same game, and we have to start playing it now!).",,1296092859226042368,en,en,not_credible,rest
"Meteor drops
 Izmir
#meteor https://t.co/U5bk59T6xT","Meteor un düşme görüntüleri
İzmir
#meteor https://t.co/U5bk59T6xT",1295897961382268928,en,tr,not_credible,rest
"historical fact 

75th https://t.co/VjOLJzOxEp","fakta sejarah 

dirgahayu RI ke 75 https://t.co/VjOLJzOxEp",1295350071504982016,en,id,uncertain,rest
"BJP MP Alphons Kannanthanam hides his mother's death due to #COVID19 and conducts funeral; Row erupts

Her body was brought to Kerala by flight & kept for public to pay homage at Manimala

Many lives are at high risk, angers crowd due to #COVIDIOTS 🙆🏾‍♂️
 https://t.co/blVscAfLbv",,1295264110616010752,en,en,not_credible,rest
