content,content_language,id,lang,lang_orig,misinfome_label,split_label
"In addition to the derby, ""Italy won, Italy lost"". To see what has happened to the European Council.

@Action_it https://t.co/drMx9LLkX3","Oltre il derby ""Italia ha vinto, Italia ha perso"". Per capire cosa è accaduto al Consiglio Europeo.

@Azione_it https://t.co/drMx9LLkX3",1285512502776922112,en,it,credible,training
"Don’t miss our new ad in North Carolina! 📺

Washington liberals are embracing Cal Cunningham and his tax raising fancy footwork. 

But North Carolina can’t afford his higher taxes at the big dance 🕺🏼

#NCsen #NCpol https://t.co/BEesZLaZRX",,1284103101310533634,en,en,credible,training
Nancy Green AKA Aunt Jemima was one of America’s first black millionaires but let’s just remove her long legacy! https://t.co/KMOONGOdpr,,1273396106337103873,en,en,not_credible,training
"So Chloroquine phosphate has proven to be very effective in treating the coronavirus #COVID19 and has shown positive clinical results. Nigerians have used chloroquine for decades and have the scratching scars mentally & physically to prove it.

Look at God.
Won’t he do it? https://t.co/H6IeUyli6S",,1230388892253278209,en,en,not_verifiable,training
"Reminiscent of crime levels in NYC at their worst in the 90s - A lack of leadership above ground is resulting in violence spilling onto the Tube.

Londoners should not have to worry about their safety on their way to work & as they travel around the city.

https://t.co/UNZnmZTbVq",,1086177624714633216,en,en,not_verifiable,training
"My letter to the nation. 

#BackTheBrexitDeal https://t.co/VGzNeeXoqg",,1066466567700037632,en,en,not_verifiable,training
I am proud to have served as Foreign Secretary. It is with sadness that I step down: here is my letter explaining why. https://t.co/NZXzUZCjdF,,1016373750395277313,en,en,not_verifiable,training
You are twice as likely to get into @UniofOxford as a white applicant (24%) than a black applicant (12%). Why? 1/4 Oxford colleges did not admit a single black student in a whole year group at least once between 2015-17. 8 colleges less than 1% black. Why?,,999199482653954049,en,en,credible,training
15)...with CCGs increasing spend by 6.3% vs an overall increase of 3.7% in their funding - in other words spending up both in absolute terms and as a proportion of NHS spend https://t.co/jDMRXEM4tC,,932605996022804480,en,en,not_verifiable,training
"Western Australia 🇦🇺 

They just passed a Covid 19 Emergency Powers Act That will authorize officers to test & vaccinate children at school - this includes removing their underwear. 

America, wake up soon. https://t.co/4l3WfhyQ96",,1261859205247451136,en,en,not_verifiable,training
"🔴 the government announces a sanction for illegal immigrants, and landings increase (+350%). Last night in Lampedusa another 136 arrivals. 
Italy refugee camp? No, thank you. https://t.co/1QCizOfZpN","🔴 Il governo annuncia una sanatoria per clandestini, e gli sbarchi aumentano (+350%). Stanotte a Lampedusa altri 136 arrivi. 
Italia campo profughi? NO, grazie. https://t.co/1QCizOfZpN",1257588688176979969,en,it,credible,training
"....Twitter is completely stifling FREE SPEECH, and I, as President, will not allow it to happen!",,1265427539008380928,en,en,not_credible,training
"Holy shit, I just verified this.

That fake ""sign up for antifa"" site literally has Ben Shapiro's email in the source. https://t.co/WgWWhSN3Pg",,1292472758962655232,en,en,not_credible,training
"For the first time in the history of India, Shiva, Kashi river shows millions of Shiva lingas that of water in Karnataka.Har Har Mahadev 
#Sanatan_culture prefers to roam on the day of its grand history.  Jago Hindus recognize the culture of #🙏
#Sanatan_Best_LA 
Garv se kaho hum Hindu hain🚩
🕉️ 🚩 https://t.co/jaWYPL38Bd","भारत के इतिहास में पहली बार कर्नाटक में शिवकाशी नदी में पानी कम होने पर दिखे लाखों शिवलिंग ।हर हर महादेव 
#सनातन_संस्कृति आए दिन अपने भव्य इतिहास का प्रमाण देती रहती है ।  जागो हिन्दुओं  #सनातन_संस्कृति को पहचानो 🙏
#सनातन_सर्वश्रेष्ठ_है 
गर्व से कहो हम हिंदू हैं 🚩
🕉️🚩🕉️ https://t.co/jaWYPL38Bd",1287630459539660801,en,hi,uncertain,training
"For example, the UK has given £10,000 to £25,000 in grants to every store, business, restaurant and hotel. Moreover, on immigration, Italy has once again, shamefully, become the refugee camp in Europe.","il Regno Unito ad esempio ha dato da 10.000 a 25.000 sterline a fondo perduto ad ogni negozio, impresa, ristorante e albergo. Senza contare che, sull’immigrazione, l’Italia è tornata ad essere, vergognosamente, il campo profughi d’Europa.",1284788310448144384,en,it,mostly_credible,training
"Breaking: (Di jerit) Palestine 🇵🇸 is officially removed from the Google and Apple map! #FreePalestine 

Apple maps                          Google maps https://t.co/kGpwmRDTri",,1283570968770736128,en,en,not_credible,training
40 Flight Crash Victims Test Positive For COVID 19 https://t.co/heiX2hht8o #KaripurFlightCrash #COVID19,,1291941591045693440,en,en,not_credible,training
,,930132743811489793,en,en,not_verifiable,training
,,930138498971176961,en,en,not_verifiable,training
"I'm really sorry when I saw the cheese on the alarm today.
The point that we're coming and going to is both very sad and creepy.
(Location: Migros) https://t.co/CI7iX5h7pc","Bugün peynirleri alarm takılmış halde görünce gerçekten çok üzüldüm.
Geldiğimiz ve gitmekte olduğumuz nokta hem çok üzücü hem de ürkütücü...
(Yer: Migros) https://t.co/CI7iX5h7pc",1268902085690626054,en,tr,credible,training
"Now, 46 states have gyms/fitness centers open - North Carolina is one of four states that does not.  #ncpol #ncga",,1275109549612191744,en,en,credible,training
"नेशनल ज्योग्राफिक चैनल ने इस दुर्लभ वीडियो के लिए 1 मिलियन डॉलर का भुगतान किया है।

National geographic channel has paid 1 Million Dollar for this rare  video..What a video https://t.co/rTIA4v5CkI",,1281924051938627585,en,en,not_credible,training
"Greek soldier lays back, Bulgarian soldier charts fese cross Turkish head 

This is a picture that was published all over the world in the days of the occupation.
Show this to those who don't like Atatürk

Good Morning 🕊 Son of Assignment #Ataturk https://t.co/eOULV2K3P4","Yunan askeri arkadan tutuyor,bulgar askeri ise Türk'ün kafasındaki fese haç çiziyor 

İşgal günlerinde tüm dünyada yayınlanmış bir resimdir bu..
Atatürk'ü ,..sevmeyenlere gösterin bunu

Günaydın Atamın evlatları🕊 #Ataturk https://t.co/eOULV2K3P4",1281841926547873792,en,tr,credible,training
Sickening images of dead bodies of #COVID19 patients being dumped in river Ganges caught on camera in #Patna. Dumping bodies ensures death count remains low. There's no outrage or prime time debates as #Bihar is ruled by double-engined - JDU and #BJP. https://t.co/7Y2Lb7RCX7,,1281154424014950401,en,en,uncertain,training
"Historical service from the CHP.

The journey into the past has begun,
Pre-1994 CHP Istanbul 
return...

(Photos Chile, 
5July 2020)

The nightmare for Istanbul 
to the president who lives
Eco-disaster! https://t.co/EcZh056i7X","CHP’li İBB’den tarihi hizmet.

Geçmişe yolculuk başladı,
1994 öncesi CHP İstanbul’una 
dönüş...

(Fotoğraflar Şile, 
5Temmuz 2020)

İstanbul’a bu kabusu 
yaşatan Başkan’a kısaca
EkoFelaket diyoruz! https://t.co/EcZh056i7X",1280049976698167296,en,tr,credible,training
"P1- An American policeman kneeling on late George Floyd
P2- An Israeli soldier kneeling on a Palestinian's neck
P3- An Indian soldier kneeling on Kashmiri's neck
They all are same picture. Speak against all. Being selective is being a hypocrite.
#GeorgeFloyd #GeorgeFloydprotest https://t.co/hHe2g3U6Np",,1266603234728214528,en,en,uncertain,training
"#RecoveryFund of about 170 billion for Italy, half of which are outright. Call an exorcist for #Meloni and #Salvini and make a statue to #Count and #M5S who have traced this path from the beginning with conviction.
Go on like this. https://t.co/Jvad26oRqO","#RecoveryFund da circa 170 miliardi per l'Italia di cui metà a fondo perduto. Chiamate un esorcista per #Meloni e #Salvini e fate una statua a #Conte e al #M5S che hanno tracciato questa strada da principio con convinzione.
Avanti così. https://t.co/Jvad26oRqO",1265666076513353729,en,it,mostly_credible,training
"Europe on the back burner

750 billion for recovery and Italy will receive the largest share

An unprecedented turn to give people hope

Now they must be well spent: health care, education, the environment, work. In a word, the future 

#RecoveryFund","L’Europa volta pagina

750 miliardi per la ripresa e l’Italia è il Paese che riceverà la parte più consistente

Una svolta senza precedenti per restituire speranza ai cittadini

Ora bisogna spenderli bene:sanità, istruzione, ambiente, lavoro. In una parola, futuro 

#RecoveryFund",1265619655043026947,en,it,uncertain,training
"Among countries with more than 1 lakh cases, India has the second fastest doubling rate. Please tell your ministers to not fool people into a false sense of security dear PM @narendramodi. Please. https://t.co/8pgXO7nCJv",,1265297915221667840,en,en,not_credible,training
"So the so-called HHS Whistleblower was against HYDROXYCHLOROQUINE. Then why did he make, and sign, an emergency use authorization? @NorahODonnell said, “He shared his concerns with a reporter.” In other words, he LEAKED. A dumb @60Minutes hit job on a grandstanding Never Trumper!",,1262393595560067073,en,en,uncertain,training
,,1260646396216012800,en,en,not_verifiable,training
,,1259644977057075200,en,en,credible,training
@dpplif @HANMAS19 https://t.co/0QaVqh52dK,,1247638385247715328,en,en,uncertain,training
,,1244480443631558657,en,en,credible,training
,,1250728914206351361,en,en,not_credible,training
"HYDROXYCHLOROQUINE & AZITHROMYCIN, taken together, have a real chance to be one of the biggest game changers in the history of medicine. The FDA has moved mountains - Thank You! Hopefully they will BOTH (H works better with A, International Journal of Antimicrobial Agents).....",,1241367239900778501,en,en,not_verifiable,training
"Breaking News: The President of Ukraine has just again announced that President Trump has done nothing wrong with respect to Ukraine and our interactions or calls. If the Radical Left Democrats were sane, which they are not, it would be case over!",,1201499577645449216,en,en,not_verifiable,training
Rep. Ratcliffe just asked the most important question of the day:  Was there anything in President Trump's July 25th phone call that was impeachable.  Neither witness said yes.,,1194690411278852100,en,en,not_verifiable,training
,,1182753900589453312,en,en,not_credible,training
Child care costs account for 24% of a WI family’s budget. This is well above the 10% affordability threshold established by the U.S. Dept. of Health & Human services. Paid Family Leave would allow parents the flexibility necessary 2 ensure they are able 2 put their family first! https://t.co/rKvagboks0,,1186664014077673472,en,en,mostly_credible,training
,,1237406763936124928,en,en,uncertain,training
"New: Joe Biden is running a new TV ad answering the Bernie Sanders campaign on Social Security. 

""Negative ads will only help Donald Trump,"" says narrator

Already aired in FL, MI, OH, MO, IL https://t.co/V4s2EpA1jN",,1236268773197451264,en,en,not_verifiable,training
"JUST NOW:  @MikeBloomberg Senior Adviser @TimOBrien goes there on @BernieSanders.

Orgasms.  Rape fantasies.  Children running naked. All there.

@NewDay

https://t.co/EUckLVYNR0",,1232299147455234048,en,en,uncertain,training
"Trump promised 13,000 new jobs to the people of #Wisconsin.

3 years later, we’re still waiting…

https://t.co/V7Bze9ggdM",,1228342301359067136,en,en,uncertain,training
"Gasoline Prices in the State of California are MUCH HIGHER than anywhere else in the Nation ($2.50 vs. $4.50). I guess those very expensive and unsafe cars that they are mandating just aren’t doing the trick! Don’t worry California, relief is on the way. The State doesn’t get it!",,1181750525596983296,en,en,not_verifiable,training
"Follow me as well. It's at the new diaper station.
That's pretty tough. Yeah. Swipe out the boys. 
All they're dealing with is a bunch of kids.. Not a bunch of pickpocketing stations. https://t.co/IW8h09Zkqy","Ikutan aplot juga dah . Ini di stasiun depok baru.
Gagah bener ya entu yg swiping anak2 stm pake keluarkan pestol segale. 
Yg dihadapi cuma anak2 stm pak.... bukan gerombolan pencopet stasiun. https://t.co/IW8h09Zkqy",1178588538004094977,en,id,credible,training
"There's a special view here with H.Kalla, representing the Indonesian delegation...

Is it?
@karyainfo https://t.co/CwlwjtCI4o","Ada pemandangan istimewa disini (gedung PBB) bersama H.Kalla , mewakili delegasi Indonesia...

Realkah?
@berkaryainfo https://t.co/CwlwjtCI4o",1178380967829889024,en,id,uncertain,training
Women's unemployment has been lower under President Trump than it's been in nearly 70 years. #WVGOP #WomenforTrump #WV4Trump https://t.co/88rzHcS16h,,1172887730239336450,en,en,mostly_credible,training
Trump's willing to build his vanity project of a border wall with money budgeted for a school for military children. That tells you everything you need to know about how this administration is prioritizing military families. https://t.co/ZcZhoQtQBy,,1171087250924429314,en,en,not_verifiable,training
"Trump is defunding hurricane recovery in Puerto Rico, and laying off of Russia in Europe, to fund his racist border wall. https://t.co/N9XaLnj3M7",,1169638132695875584,en,en,not_verifiable,training
"In addition to Florida - South Carolina, North Carolina, Georgia, and Alabama, will most likely be hit (much) harder than anticipated. Looking like one of the largest hurricanes ever. Already category 5. BE CAREFUL! GOD BLESS EVERYONE!",,1168174613827899393,en,en,not_verifiable,training
We're levelling up schools across the country by investing over £14 billion in primary and secondary education between now and 2022/23. https://t.co/tXXBUBjB2b,,1167742407892439040,en,en,not_verifiable,training
Everyone looking at Iowa Dems over #IowaCaucusDisaster is looking in wrong direction. @DNC @TomPerez was involved w/ enlisting Shadow app-which was in part funded by @PeteButtigieg & never disclosed. Can u imagine if @BernieSanders camp gav $ to caucus app & it was not disclosed?,,1224745023369097222,en,en,not_verifiable,training
"This right?

The poll that has been released right before the election in Iowa for 76 years straight was scrapped because Pete’s team complained. 

And Pete’s team funded the company that built the failed election app in Iowa. 

And Pete declared victory before results released?",,1224685361617690626,en,en,not_verifiable,training
THE BEST IS YET TO COME! https://t.co/YBMOBurdHQ,,1219439427488866305,en,en,not_verifiable,training
Australia from the space https://t.co/K4SCyV9yo1,,1213956548948615170,en,en,uncertain,training
"....better off without them. The vast amounts of money made and stolen by China from the United States, year after year, for decades, will and must STOP. Our great American companies are hereby ordered to immediately start looking for an alternative to China, including bringing..",,1164914960046133249,en,en,not_verifiable,training
Assisted in the clandestine travel to Afghanistan of 10 of the 12 terrorists who carried out the September 11 terrorist attacks in the United States.,,1213189757708189699,en,en,not_verifiable,training
"“WV is 6th overall in the average number of at-risk youth...”
Let’s turn this around and grow our workforce by supporting post-secondary training programs. #TimeToGetToWorkWV #wvpol
https://t.co/seTT9ZhXgO",,1164272459924701185,en,en,mostly_credible,training
"#Istat certifies that in June, the #occupied by 6,000 units dropped, but headlines: ""Never so many people busy.""  Words and numbers do not match in the era Five Stars @FratellidIia",#Istat certifica che in giugno sono scesi gli #occupati di 6mila unità ma titola: “Mai così tanti occupati”.  Parole e numeri non corrispondono nell’era Cinque Stelle @FratellidItaIia,1156509309062266880,en,it,uncertain,training
A parliament that produces little and does not count for anything produces little because it has the lowest number of laws approved in the last legislature and counts little because of laws passed more than 30% derives from decrees. #lariachetirala7,"Un Parlamento che produce poco e che non conta niente, produce poco perché ha il numero di leggi approvate più basso delle ultime legislature e conta poco perché delle leggi approvate più del 30% deriva da decreti legge. #lariachetirala7",1156500716120412160,en,it,mostly_credible,training
"Exciting news: We just passed one million contributions made to our campaign!

We’re 100% grassroots-funded, & every person who chips in owns a piece of our movement. I couldn’t be more grateful. After Caitlyn made the millionth donation, I called with a double woo-hoo thank you! https://t.co/UvupHb9qW6",,1154755529731977216,en,en,uncertain,training
"Best Countries for Education, in 2019

1.🇬🇧UK
2.🇺🇸US
3.🇨🇦Canada
4.🇩🇪Germany
5.🇫🇷France
6.🇦🇺Australia
7.🇨🇭Switzerland
8.🇸🇪Sweden
9.🇯🇵Japan
10.🇳🇱Netherlands

13.🇳🇿NZ
16.🇮🇹Italy
18.🇪🇸Spain
22.🇷🇺Russia
25.🇨🇳China
31.🇦🇪UAE
33.🇧🇷Brazil
34.🇮🇳India
36.🇹🇷Turkey

(U.S. News & World Report)",,1147566007537606659,en,en,not_verifiable,training
"The Trump administration is attacking our health care system and raising health care costs for families.
 
More Americans are uninsured today than when Trump took office.
 
I’m calling on him to stop the sabotage on the health care that families need. https://t.co/IweRpl8kzC",,1143171195732447232,en,en,credible,training
"It has been a few hours since the Bark State Prosecutor, who released the cow thief who attacked Kilicdaroglu, torched the prosecutor's office from the office while the Ansar Foundation was Ankara Branch President","Kılıçdaroğlu'na saldıran inek hırsızını serbest bırakan Çubuk Cumhuriyet Savcısı'nın, Ensar Vakfı Ankara Şube Başkanı iken avukatlıktan savcılığa torpille geçtiği anlaşılalı birkaç saat oldu",1123818740188098560,en,tr,credible,training
"Bank fees for the modest: @alexiscorbiere denounces ""a sneaky private tax"", which would be up to ""300 euros per year"". He criticizes the ""fake news"" of the commitments made by the banks at the request of the government. 
#DirectAN #QAG https://t.co/338me7MVvS","Frais bancaires pour les plus modestes : @alexiscorbiere dénonce ""un sournois impôt privé"", qui s'élèverait jusqu'à ""300 euros par an"". Il fustige la ""fake news"" des engagements pris par les banques à la demande du gouvernement. 
#DirectAN #QAG https://t.co/338me7MVvS",1115980028896890880,en,fr,not_verifiable,training
"The Iraq war began sixteen years ago tomorrow.  There is a myth about the war that I have been meaning to set straight for years.  After no WMDs were found, the left claimed ""Bush lied.  People died.""  This accusation itself is a lie. It's time to put it to rest.",,1108182597983703041,en,en,not_verifiable,training
Marmaray's on the sidewalk? How is that? Does anyone understand? https://t.co/EvB8XfmpHJ,Marmaray kaldırıma mı çıktı? Nasıl olur bu? Anlayan var mı? https://t.co/EvB8XfmpHJ,1100495516977250312,en,tr,credible,training
"We have just built this powerful Wall in New Mexico. Completed on January 30, 2019 – 47 days ahead of schedule! Many miles more now under construction! #FinishTheWall https://t.co/TYkj3KRdOC",,1098295228837048325,en,en,uncertain,training
Not only is there no national emergency at the border: crossings remain at historically low levels. My full statement: https://t.co/oebNIAQBUZ,,1096192833483091975,en,en,mostly_credible,training
,,1088171273845424128,en,en,not_verifiable,training
"Did you know that there are almost 60,000 North Carolina children on waiting lists to access a school that works best for them? #schoolchoice #nced #ncpol 
https://t.co/iHoGcyaUJh",,1089977923141074957,en,en,mostly_credible,training
"Thanks to successful federal, state, and local efforts, preliminary statistics show opioid overdose deaths are down 8.5% in West Virginia. Awesome news! https://t.co/uICcVlU7vZ",,1087764492761657344,en,en,uncertain,training
